,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
🎞,objects,film frames,[film_frames],1f39e-fe0f,"[entertainment, movie, object, camera, cinema, frames, film]",1f39e,🎞,,,
🎟,activity,admission tickets,"[tickets, admission_tickets]",1f39f-fe0f,"[theatre, entertainment, movie, admission, parties, ticket]",1f39f,🎟,[:admission_tickets:],,
🎠,travel,carousel horse,[carousel_horse],,"[horse, roller coaster, places, entertainment, object, vacation, carousel, activity]",1f3a0,🎠,,,
🎡,travel,ferris wheel,[ferris_wheel],,"[wheel, places, entertainment, activity, vacation, ferris, amusement park, ferris wheel]",1f3a1,🎡,,,
🎢,travel,roller coaster,[roller_coaster],,"[coaster, roller coaster, places, entertainment, activity, vacation, amusement park, roller]",1f3a2,🎢,,,
🎣,activity,fishing pole and fish,[fishing_pole_and_fish],,"[entertainment, fish, vacation, pole, fishing, sport]",1f3a3,🎣,,,
🎤,activity,microphone,[microphone],,"[microphone, entertainment, instruments, mic, activity, karaoke]",1f3a4,🎤,,,
🎥,objects,movie camera,[movie_camera],,"[object, cinema, movie, entertainment, camera, activity]",1f3a5,🎥,,,
🎦,symbols,cinema,[cinema],,"[cinema, movie, symbol, entertainment, camera, activity, film]",1f3a6,🎦,,,
🎧,activity,headphone,[headphones],,"[headphone, instruments, earbud, entertainment, activity]",1f3a7,🎧,,,
🎨,activity,artist palette,[art],,"[palette, art, entertainment, museum, activity, painting]",1f3a8,🎨,,,
🎩,people,top hat,[tophat],,"[fashion, entertainment, clothing, top, accessories, activity, tophat, hat]",1f3a9,🎩,,,
🎪,activity,circus tent,[circus_tent],,"[tent, circus, circus tent, entertainment, activity]",1f3aa,🎪,,,
🎫,activity,ticket,[ticket],,"[theatre, entertainment, movie, admission, parties, activity, ticket]",1f3ab,🎫,,,
🎬,activity,clapper board,[clapper],,"[clapper, movie, entertainment, activity]",1f3ac,🎬,,,
🎭,activity,performing arts,[performing_arts],,"[art, theatre, entertainment, movie, performing, mask, activity, theater]",1f3ad,🎭,,,
🎮,activity,video game,[video_game],,"[entertainment, game, controller, boys night, electronics, video game]",1f3ae,🎮,,,
🎯,activity,direct hit,[dart],,"[eye, target, entertainment, activity, boys night, dart, game, bullseye, bull, hit, sport]",1f3af,🎯,,,
🎰,activity,slot machine,[slot_machine],,"[slot, boys night, game, activity]",1f3b0,🎰,,,
🎱,activity,billiards,[8ball],,"[, ball, billiards, game, billiard, eight, boys night, sport, luck]",1f3b1,🎱,,,
🎲,activity,game die,[game_die],,"[dice, entertainment, die, object, game, boys night]",1f3b2,🎲,,,
🎳,activity,bowling,[bowling],,"[boys night, game, ball, sport, bowling]",1f3b3,🎳,,,
🎴,symbols,flower playing cards,[flower_playing_cards],,"[flower, entertainment, symbol, object, japanese, game, activity, playing, card]",1f3b4,🎴,,,
🎵,symbols,musical note,[musical_note],,"[entertainment, instruments, symbol, note, music, activity]",1f3b5,🎵,,,
🎶,symbols,multiple musical notes,[notes],,"[entertainment, instruments, notes, note, music, activity, symbol]",1f3b6,🎶,,,
🎷,activity,saxophone,[saxophone],,"[entertainment, instruments, instrument, sax, saxophone, activity, music]",1f3b7,🎷,,,
🎸,activity,guitar,[guitar],,"[entertainment, instruments, guitar, instrument, music, activity]",1f3b8,🎸,,,
🎹,activity,musical keyboard,[musical_keyboard],,"[entertainment, instruments, activity, instrument, music, keyboard, piano]",1f3b9,🎹,,,
🎺,activity,trumpet,[trumpet],,"[entertainment, instruments, instrument, music, activity, trumpet]",1f3ba,🎺,,,
🎻,activity,violin,[violin],,"[entertainment, instruments, sarcastic, instrument, music, activity, violin]",1f3bb,🎻,,,
🎼,activity,musical score,[musical_score],,"[instruments, entertainment, music, score, activity]",1f3bc,🎼,,,
🎽,activity,running shirt with sash,[running_shirt_with_sash],,"[running, sash, award, shirt]",1f3bd,🎽,,,
🎾,activity,tennis racquet and ball,[tennis],,"[racquet, tennis, game, ball, sport]",1f3be,🎾,,,
🎿,activity,ski and ski boot,[ski],,"[cold, sport, ski, snow, skiing]",1f3bf,🎿,,,
🏀,activity,basketball and hoop,[basketball],,"[basketball, hoop, ball, sport, game]",1f3c0,🏀,,,
🏁,travel,chequered flag,[checkered_flag],,"[flag, checkered, racing, object, chequered]",1f3c1,🏁,,,
🏂,activity,snowboarder,[snowboarder],,"[ski, snow, vacation, snowboard, snowboarding, cold, sport, hat]",1f3c2,🏂,,,
🏃,people,runner,[runner],,"[diversity, people, runner, men, running, run, boys night, marathon]",1f3c3,🏃,,,
🏃🏻,people,runner type,[runner_tone1],,[],1f3c3_1f3fb,🏃🏻,,runner tone 1,
🏃🏼,people,runner type,[runner_tone2],,[],1f3c3_1f3fc,🏃🏼,,runner tone 2,
🏃🏽,people,runner type,[runner_tone3],,[],1f3c3_1f3fd,🏃🏽,,runner tone 3,
🏃🏾,people,runner type,[runner_tone4],,[],1f3c3_1f3fe,🏃🏾,,runner tone 4,
🏃🏿,people,runner type,[runner_tone5],,[],1f3c3_1f3ff,🏃🏿,,runner tone 5,
🏄,activity,surfer,[surfer],,"[surfing, diversity, men, vacation, surfer, tropical, sport]",1f3c4,🏄,,,
🏄🏻,activity,surfer type,[surfer_tone1],,[],1f3c4_1f3fb,🏄🏻,,surfer tone 1,
