,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
🖲,objects,trackball,[trackball],1f5b2-fe0f,"[office, work, game, computer, trackball, electronics]",1f5b2,🖲,,,
🖼,objects,frame with picture,"[frame_photo, frame_with_picture]",1f5bc-fe0f,"[picture, art, travel, museum, vacation, painting, frame]",1f5bc,🖼,[:frame_with_picture:],,
🗂,objects,card index dividers,"[dividers, card_index_dividers]",1f5c2-fe0f,"[index, dividers, work, office, card]",1f5c2,🗂,[:card_index_dividers:],,
🗃,objects,card file box,"[card_file_box, card_box]",1f5c3-fe0f,"[box, work, office, object, file, card]",1f5c3,🗃,[:card_file_box:],,
🗄,objects,file cabinet,[file_cabinet],1f5c4-fe0f,"[work, object, office, file, cabinet]",1f5c4,🗄,,,
🗑,objects,wastebasket,[wastebasket],1f5d1-fe0f,"[work, wastebasket, object]",1f5d1,🗑,,,
🗒,objects,spiral note pad,"[spiral_note_pad, notepad_spiral]",1f5d2-fe0f,"[write, office, work, spiral, note, pad]",1f5d2,🗒,[:spiral_note_pad:],,
🗓,objects,spiral calendar pad,"[spiral_calendar_pad, calendar_spiral]",1f5d3-fe0f,"[calendar, object, pad, spiral, office]",1f5d3,🗓,[:spiral_calendar_pad:],,
🗜,objects,compression,[compression],1f5dc-fe0f,"[tool, compression, vice]",1f5dc,🗜,,,
🗝,objects,old key,"[old_key, key2]",1f5dd-fe0f,"[lock, object, old, key, clue]",1f5dd,🗝,[:old_key:],,
🗞,objects,rolled up newspaper,"[rolled_up_newspaper, newspaper2]",1f5de-fe0f,"[office, rolled, write, paper, newspaper, news]",1f5de,🗞,[:rolled_up_newspaper:],rolled-up newspaper,
🗡,objects,dagger knife,"[dagger_knife, dagger]",1f5e1-fe0f,"[weapon, object, dagger, knife]",1f5e1,🗡,[:dagger_knife:],,
🗣,people,speaking head in silhouette,"[speaking_head, speaking_head_in_silhouette]",1f5e3-fe0f,"[head, silhouette, people, face, talk, speaking, speak]",1f5e3,🗣,[:speaking_head_in_silhouette:],,
🗨,,left speech bubble,[left_speech_bubble],,"[speech, dialog]",1f5e8,🗨,,,
🗯,symbols,right anger bubble,"[anger_right, right_anger_bubble]",1f5ef-fe0f,"[symbol, angry, bubble, balloon, mad]",1f5ef,🗯,[:right_anger_bubble:],,
🗳,objects,ballot box with ballot,"[ballot_box_with_ballot, ballot_box]",1f5f3-fe0f,"[box, object, ballot, office]",1f5f3,🗳,[:ballot_box_with_ballot:],,
🗺,objects,world map,"[map, world_map]",1f5fa-fe0f,"[map, travel, vacation, world]",1f5fa,🗺,[:world_map:],,
🗻,travel,mount fuji,[mount_fuji],,"[mountain, places, travel, camp, vacation, fuji, cold]",1f5fb,🗻,,,
🗼,travel,tokyo tower,[tokyo_tower],,"[places, tokyo, eiffel tower, vacation, tower, travel]",1f5fc,🗼,,,
🗽,travel,statue of liberty,[statue_of_liberty],,"[statue of liberty, places, travel, free speech, vacation, liberty, statue, america]",1f5fd,🗽,,,
🗾,travel,silhouette of japan,[japan],,"[map, places, travel, vacation, tropical, japan]",1f5fe,🗾,,,
🗿,objects,moyai,[moyai],,"[vacation, moyai, travel, statue, face]",1f5ff,🗿,,,
😀,people,grinning face,[grinning],,"[emotion, happy, smiley, grin, face]",1f600,😀,,,
😁,people,grinning face with smiling eyes,[grin],,"[emotion, good, eye, selfie, smiley, face, silly, smile, grin, happy]",1f601,😁,,,
😂,people,face with tears of joy,[joy],,"[emotion, cry, tear, joy, smiley, sarcastic, face, silly, laugh, happy]",1f602,😂,,,"[:'), :'-)]"
😃,people,smiling face with open mouth,[smiley],,"[emotion, good, smiley, face, mouth, smile, open, happy]",1f603,😃,,,"[:D, :-D, =D]"
😄,people,smiling face with open mouth and smiling eyes,[smile],,"[emotion, eye, smiley, face, mouth, smile, open, happy]",1f604,😄,,,
😅,people,smiling face with open mouth and cold sweat,[sweat_smile],,"[emotion, workout, smiley, face, sweat, smile, cold, open]",1f605,😅,,,"[':), ':-), '=), ':D, ':-D, '=D]"
😆,people,smiling face with open mouth and tightly closed eyes,"[laughing, satisfied]",,"[emotion, smiley, satisfied, face, mouth, laugh, smile, open, happy]",1f606,😆,[:satisfied:],smiling face with open mouth and tightly-closed eyes,"[>:), >;), >:-), >=)]"
😇,people,smiling face with halo,[innocent],,"[emotion, angel, smiley, face, fantasy, fairy tale, innocent, smile, halo]",1f607,😇,,,"[O:-), 0:-3, 0:3, 0:-), 0:), 0;^), O:), O;-), O=), 0;-), O:-3, O:3]"
😈,people,smiling face with horns,[smiling_imp],,"[devil, monster, angry, smiley, boys night, face, fantasy, fairy tale, silly, horns, smile]",1f608,😈,,,
😉,people,winking face,[wink],,"[emotion, wink, smiley, silly, face]",1f609,😉,,,"[;), ;-), *-), *), ;-], ;], ;D, ;^)]"
😊,people,smiling face with smiling eyes,[blush],,"[emotion, beautiful, good, eye, smiley, face, smile, blush, happy]",1f60a,😊,,,
😋,people,face savouring delicious food,[yum],,"[emotion, good, smiley, silly, face, um, yum, savouring, delicious, smile, sarcastic, happy]",1f60b,😋,,,
😌,people,relieved face,[relieved],,"[relieved, emotion, smiley, face]",1f60c,😌,,,
😍,people,smiling face with heart shaped eyes,[heart_eyes],,"[emotion, heart, eye, love, smiley, face, beautiful, heart eyes, smile, sex, happy]",1f60d,😍,,smiling face with heart-shaped eyes,
😎,people,smiling face with sunglasses,[sunglasses],,"[sunglasses, eye, sun, emojione, smiley, eyewear, face, bright, weather, silly, boys night, smile, cool, glasses]",1f60e,😎,,,"[B-), B), 8), 8-), B-D, 8-D]"
😏,people,smirking face,[smirk],,"[smirk, smiley, sarcastic, face, silly, sexy]",1f60f,😏,,,
😐,people,neutral face,[neutral_face],,"[shrug, emotion, deadpan, smiley, face, neutral, mad]",1f610,😐,,,
😑,people,expressionless face,[expressionless],,"[emotion, inexpressive, expressionless, smiley, face, neutral, mad, unexpressive]",1f611,😑,,,"[-_-, -__-, -___-]"
😒,people,unamused face,[unamused],,"[emotion, unamused, tired, smiley, unhappy, sad, mad, face]",1f612,😒,,,
😓,people,face with cold sweat,[sweat],,"[emotion, smiley, sad, sweat, stressed, cold, face]",1f613,😓,,,"[':(, ':-(, '=(]"
😔,people,pensive face,[pensive],,"[emotion, pensive, smiley, dejected, rip, sad, face]",1f614,😔,,,
😕,people,confused face,[confused],,"[emotion, smiley, confused, surprised, face]",1f615,😕,,,"[>:\, >:/, :-/, :-., :/, :\, =/, =\, :L, =L]"
😖,people,confounded face,[confounded],,"[emotion, confounded, angry, smiley, sad, face]",1f616,😖,,,
😗,people,kissing face,[kissing],,"[sexy, smiley, kiss, face]",1f617,😗,,,
😘,people,face throwing a kiss,[kissing_heart],,"[heart, love, smiley, face, kiss, sexy]",1f618,😘,,,"[:*, :-*, =*, :^*]"
😙,people,kissing face with smiling eyes,[kissing_smiling_eyes],,"[eye, smiley, face, kiss, sexy, smile]",1f619,😙,,,
😚,people,kissing face with closed eyes,[kissing_closed_eyes],,"[eye, closed, smiley, face, kiss, sexy]",1f61a,😚,,,
😛,people,face with stuck out tongue,[stuck_out_tongue],,"[emotion, tongue, smiley, sex, face]",1f61b,😛,,face with stuck-out tongue,"[:P, :-P, =P, :-p, :p, =p, :-Þ, :Þ, :þ, :-þ, :-b, :b, d:]"
😜,people,face with stuck out tongue and winking eye,[stuck_out_tongue_winking_eye],,"[emotion, eye, joke, smiley, face, wink, parties, tongue, happy]",1f61c,😜,,face with stuck-out tongue and winking eye,"[>:P, X-P, x-p]"
😝,people,face with stuck out tongue and tightly closed eyes,[stuck_out_tongue_closed_eyes],,"[emotion, eye, taste, smiley, face, horrible, tongue, happy]",1f61d,😝,,face with stuck-out tongue and tightly-closed eyes,
😞,people,disappointed face,[disappointed],,"[emotion, tired, smiley, sad, face, disappointed]",1f61e,😞,,,"[>:[, :-(, :(, :-[, :[, =(]"
😟,people,worried face,[worried],,"[emotion, worried, sad, smiley, face]",1f61f,😟,,,
😠,people,angry face,[angry],,"[emotion, angry, smiley, mad, face]",1f620,😠,,,"[>:(, >:-(, :@]"
😡,people,pouting face,[rage],,"[emotion, rage, angry, smiley, face, mad, pouting, red]",1f621,😡,,,
😢,people,crying face,[cry],,"[emotion, smiley, tear, cry, rip, sad, heartbreak, face]",1f622,😢,,,"[:'(, :'-(, ;(, ;-(]"
😣,people,persevering face,[persevere],,"[persevere, emotion, angry, smiley, sad, face]",1f623,😣,,,[>.<]
😤,people,face with look of triumph,[triumph],,"[emotion, angry, smiley, face, won, mad, steam, triumph]",1f624,😤,,,
😥,people,disappointed but relieved face,[disappointed_relieved],,"[emotion, cry, relieved, smiley, sad, whew, stressed, face, disappointed, sweat]",1f625,😥,,,
😦,people,frowning face with open mouth,[frowning],,"[emotion, frown, smiley, sad, mouth, face, open, surprised]",1f626,😦,,,
😧,people,anguished face,[anguished],,"[emotion, smiley, sad, anguished, face, surprised]",1f627,😧,,,
😨,people,fearful face,[fearful],,"[emotion, fearful, scared, smiley, face, fear, surprised]",1f628,😨,,,[D:]
😩,people,weary face,[weary],,"[emotion, tired, face, smiley, sad, stressed, weary]",1f629,😩,,,
😪,people,sleepy face,[sleepy],,"[emotion, smiley, sleep, sick, face]",1f62a,😪,,,
😫,people,tired face,[tired_face],,"[emotion, tired, sad, smiley, face]",1f62b,😫,,,
😬,people,grimacing face,[grimacing],,"[emotion, selfie, smiley, face, silly, grimace]",1f62c,😬,,,
😭,people,loudly crying face,[sob],,"[emotion, sob, tear, cry, smiley, sad, heartbreak, face]",1f62d,😭,,,
😮,people,face with open mouth,[open_mouth],,"[emotion, wow, smiley, face, sympathy, mouth, open, surprised]",1f62e,😮,,,"[:-O, :O, :-o, :o, O_O, >:O]"
😯,people,hushed face,[hushed],,"[stunned, hushed, wow, smiley, face, surprised]",1f62f,😯,,,
😰,people,face with open mouth and cold sweat,[cold_sweat],,"[blue, emotion, rushed, smiley, face, mouth, sweat, cold, open]",1f630,😰,,,
😱,people,face screaming in fear,[scream],,"[emotion, omg, fearful, scared, smiley, munch, face, wow, fear, scream, surprised]",1f631,😱,,,
😲,people,astonished face,[astonished],,"[emotion, omg, wow, smiley, shocked, face, astonished, totally, surprised]",1f632,😲,,,
😳,people,flushed face,[flushed],,"[emotion, omg, smiley, face, dazed, flushed]",1f633,😳,,,"[:$, =$]"
😴,people,sleeping face,[sleeping],,"[emotion, zzz, tired, smiley, face, goodnight, sleep]",1f634,😴,,,
😵,people,dizzy face,[dizzy_face],,"[emotion, omg, wow, smiley, dead, face, dizzy, surprised]",1f635,😵,,,"[#-), #), %-), %), X), X-)]"
😶,people,face without mouth,[no_mouth],,"[emotion, silent, smiley, quiet, face, neutral, mouth, mad]",1f636,😶,,,"[:-X, :X, :-#, :#, =X, =x, :x, :-x, =#]"
😷,people,face with medical mask,[mask],,"[doctor, smiley, mask, dead, face, health, sick, medicine, cold]",1f637,😷,,,
😸,people,grinning cat face with smiling eyes,[smile_cat],,"[eye, face, animal, smile, cat, grin, happy]",1f638,😸,,,
😹,people,cat face with tears of joy,[joy_cat],,"[animal, tear, joy, cry, sarcastic, face, silly, laugh, cat, happy]",1f639,😹,,,
😺,people,smiling cat face with open mouth,[smiley_cat],,"[face, mouth, animal, smile, cat, open, happy]",1f63a,😺,,,
😻,people,smiling cat face with heart shaped eyes,[heart_eyes_cat],,"[beautiful, heart, eye, love, face, animal, heart eyes, smile, cat]",1f63b,😻,,smiling cat face with heart-shaped eyes,
😼,people,cat face with wry smile,[smirk_cat],,"[face, animal, ironic, smile, cat, wry]",1f63c,😼,,,
😽,people,kissing cat face with closed eyes,[kissing_cat],,"[face, eye, animal, kiss, cat]",1f63d,😽,,,
😾,people,pouting cat face,[pouting_cat],,"[pouting, face, animal, cat]",1f63e,😾,,,
😿,people,crying cat face,[crying_cat_face],,"[tear, cry, face, cat, animal, sad]",1f63f,😿,,,
🙀,people,weary cat face,[scream_cat],,"[oh, weary, cat, animal, face, surprised]",1f640,🙀,,,
🙁,people,slightly frowning face,"[slight_frown, slightly_frowning_face]",,"[emotion, sad, frown, smiley, face]",1f641,🙁,[:slightly_frowning_face:],,
🙂,people,slightly smiling face,"[slight_smile, slightly_smiling_face]",,"[smile, happy, smiley, face]",1f642,🙂,[:slightly_smiling_face:],,"[:), :-), =], =), :]]"
🙃,people,upside down face,"[upside_down_face, upside_down]",,"[smiley, silly, upside down, sarcastic, face]",1f643,🙃,[:upside_down_face:],upside-down face,
🙄,people,face with rolling eyes,"[rolling_eyes, face_with_rolling_eyes]",,"[emotion, eyes, rolling eyes, smiley, sarcastic, face, mad, rolling]",1f644,🙄,[:face_with_rolling_eyes:],,
🙅,people,face with no good gesture,[no_good],,"[diversity, no, forbidden, people, hand, prohibited, not, girls night, gesture, women]",1f645,🙅,,,
🙅🏻,people,face with no good gesture type,[no_good_tone1],,[],1f645_1f3fb,🙅🏻,,face with no good gesture tone 1,
🙅🏼,people,face with no good gesture type,[no_good_tone2],,[],1f645_1f3fc,🙅🏼,,face with no good gesture tone 2,
🙅🏽,people,face with no good gesture type,[no_good_tone3],,[],1f645_1f3fd,🙅🏽,,face with no good gesture tone 3,
🙅🏾,people,face with no good gesture type,[no_good_tone4],,[],1f645_1f3fe,🙅🏾,,face with no good gesture tone 4,
🙅🏿,people,face with no good gesture type,[no_good_tone5],,[],1f645_1f3ff,🙅🏿,,face with no good gesture tone 5,
🙆,people,face with ok gesture,[ok_woman],,"[diversity, people, hand, ok, gesture, women]",1f646,🙆,,,"[*\0/*, \0/, *\O/*, \O/]"
🙆🏻,people,face with ok gesture type,[ok_woman_tone1],,[],1f646_1f3fb,🙆🏻,,face with ok gesture tone1,
🙆🏼,people,face with ok gesture type,[ok_woman_tone2],,[],1f646_1f3fc,🙆🏼,,face with ok gesture tone2,
🙆🏽,people,face with ok gesture type,[ok_woman_tone3],,[],1f646_1f3fd,🙆🏽,,face with ok gesture tone3,
🙆🏾,people,face with ok gesture type,[ok_woman_tone4],,[],1f646_1f3fe,🙆🏾,,face with ok gesture tone4,
🙆🏿,people,face with ok gesture type,[ok_woman_tone5],,[],1f646_1f3ff,🙆🏿,,face with ok gesture tone5,
🙇,people,person bowing deeply,[bow],,"[diversity, apology, people, pray, bow, sorry, gesture]",1f647,🙇,,,
🙇🏻,people,person bowing deeply type,[bow_tone1],,[],1f647_1f3fb,🙇🏻,,person bowing deeply tone 1,
🙇🏼,people,person bowing deeply type,[bow_tone2],,[],1f647_1f3fc,🙇🏼,,person bowing deeply tone 2,
🙇🏽,people,person bowing deeply type,[bow_tone3],,[],1f647_1f3fd,🙇🏽,,person bowing deeply tone 3,
🙇🏾,people,person bowing deeply type,[bow_tone4],,[],1f647_1f3fe,🙇🏾,,person bowing deeply tone 4,
🙇🏿,people,person bowing deeply type,[bow_tone5],,[],1f647_1f3ff,🙇🏿,,person bowing deeply tone 5,
🙈,nature,see no evil monkey,[see_no_evil],,"[monkey, no, forbidden, evil, face, see, prohibited, animal, not, gesture]",1f648,🙈,,see-no-evil monkey,
🙉,nature,hear no evil monkey,[hear_no_evil],,"[monkey, no, forbidden, evil, face, hear, animal, not, prohibited, gesture]",1f649,🙉,,hear-no-evil monkey,
🙊,nature,speak no evil monkey,[speak_no_evil],,"[monkey, no, forbidden, evil, face, prohibited, animal, not, gesture, speak]",1f64a,🙊,,speak-no-evil monkey,
🙋,people,happy person raising one hand,[raising_hand],,"[raised, diversity, people, hand, happy, gesture, women]",1f64b,🙋,,,
🙋🏻,people,happy person raising one hand type,[raising_hand_tone1],,[],1f64b_1f3fb,🙋🏻,,happy person raising one hand tone1,
🙋🏼,people,happy person raising one hand type,[raising_hand_tone2],,[],1f64b_1f3fc,🙋🏼,,happy person raising one hand tone2,
🙋🏽,people,happy person raising one hand type,[raising_hand_tone3],,[],1f64b_1f3fd,🙋🏽,,happy person raising one hand tone3,
🙋🏾,people,happy person raising one hand type,[raising_hand_tone4],,[],1f64b_1f3fe,🙋🏾,,happy person raising one hand tone4,
🙋🏿,people,happy person raising one hand type,[raising_hand_tone5],,[],1f64b_1f3ff,🙋🏿,,happy person raising one hand tone5,
🙌,people,person raising both hands in celebration,[raised_hands],,"[body, perfect, raised, good, diversity, parties, hand, hooray, hands, gesture, celebration]",1f64c,🙌,,,
🙌🏻,people,person raising both hands in celebration type,[raised_hands_tone1],,[],1f64c_1f3fb,🙌🏻,,person raising both hands in celebration tone 1,
🙌🏼,people,person raising both hands in celebration type,[raised_hands_tone2],,[],1f64c_1f3fc,🙌🏼,,person raising both hands in celebration tone 2,
🙌🏽,people,person raising both hands in celebration type,[raised_hands_tone3],,[],1f64c_1f3fd,🙌🏽,,person raising both hands in celebration tone 3,
🙌🏾,people,person raising both hands in celebration type,[raised_hands_tone4],,[],1f64c_1f3fe,🙌🏾,,person raising both hands in celebration tone 4,
🙌🏿,people,person raising both hands in celebration type,[raised_hands_tone5],,[],1f64c_1f3ff,🙌🏿,,person raising both hands in celebration tone 5,
🙍,people,person frowning,[person_frowning],,"[women, diversity, frown, gesture, people]",1f64d,🙍,,,
🙍🏻,people,person frowning type,[person_frowning_tone1],,[],1f64d_1f3fb,🙍🏻,,person frowning tone 1,
🙍🏼,people,person frowning type,[person_frowning_tone2],,[],1f64d_1f3fc,🙍🏼,,person frowning tone 2,
🙍🏽,people,person frowning type,[person_frowning_tone3],,[],1f64d_1f3fd,🙍🏽,,person frowning tone 3,
🙍🏾,people,person frowning type,[person_frowning_tone4],,[],1f64d_1f3fe,🙍🏾,,person frowning tone 4,
🙍🏿,people,person frowning type,[person_frowning_tone5],,[],1f64d_1f3ff,🙍🏿,,person frowning tone 5,
🙎,people,person with pouting face,[person_with_pouting_face],,"[women, pouting, diversity, gesture, people]",1f64e,🙎,,,
🙎🏻,people,person with pouting face type,[person_with_pouting_face_tone1],,[],1f64e_1f3fb,🙎🏻,,person with pouting face tone1,
🙎🏼,people,person with pouting face type,[person_with_pouting_face_tone2],,[],1f64e_1f3fc,🙎🏼,,person with pouting face tone2,
🙎🏽,people,person with pouting face type,[person_with_pouting_face_tone3],,[],1f64e_1f3fd,🙎🏽,,person with pouting face tone3,
🙎🏾,people,person with pouting face type,[person_with_pouting_face_tone4],,[],1f64e_1f3fe,🙎🏾,,person with pouting face tone4,
🙎🏿,people,person with pouting face type,[person_with_pouting_face_tone5],,[],1f64e_1f3ff,🙎🏿,,person with pouting face tone5,
🙏,people,person with folded hands,[pray],,"[body, diversity, pray, please, folded, scientology, hand, thank you, hi, thanks, hands, ask, bow, gesture, luck]",1f64f,🙏,,,
🙏🏻,people,person with folded hands type,[pray_tone1],,[],1f64f_1f3fb,🙏🏻,,person with folded hands tone 1,
🙏🏼,people,person with folded hands type,[pray_tone2],,[],1f64f_1f3fc,🙏🏼,,person with folded hands tone 2,
🙏🏽,people,person with folded hands type,[pray_tone3],,[],1f64f_1f3fd,🙏🏽,,person with folded hands tone 3,
🙏🏾,people,person with folded hands type,[pray_tone4],,[],1f64f_1f3fe,🙏🏾,,person with folded hands tone 4,
🙏🏿,people,person with folded hands type,[pray_tone5],,[],1f64f_1f3ff,🙏🏿,,person with folded hands tone 5,
🚀,travel,rocket,[rocket],,"[fly, transportation, rocket, space, object, vehicle, blast]",1f680,🚀,,,
🚁,travel,helicopter,[helicopter],,"[fly, transportation, travel, plane, vehicle, helicopter]",1f681,🚁,,,
🚂,travel,steam locomotive,[steam_locomotive],,"[engine, transportation, travel, steam, train, vehicle, railway, locomotive]",1f682,🚂,,,
🚃,travel,railway car,[railway_car],,"[transportation, electric, tram, car, travel, vehicle, train, trolleybus, railway]",1f683,🚃,,,
🚄,travel,high speed train,[bullettrain_side],,"[transportation, travel, shinkansen, train, vehicle, railway, speed]",1f684,🚄,,high-speed train,
🚅,travel,high speed train with bullet nose,[bullettrain_front],,"[transportation, bullet, travel, shinkansen, train, vehicle, railway, speed]",1f685,🚅,,high-speed train with bullet nose,
🚆,travel,train,[train2],,"[railway, train, transportation, travel, vehicle]",1f686,🚆,,,
🚇,travel,metro,[metro],,"[transportation, metro, travel, train, subway, vehicle]",1f687,🚇,,,
🚈,travel,light rail,[light_rail],,"[railway, train, transportation, travel, vehicle]",1f688,🚈,,,
🚉,travel,station,[station],,"[transportation, travel, train, vehicle, station, railway]",1f689,🚉,,,
🚊,travel,tram,[tram],,"[transportation, tram, trolleybus, travel, train, vehicle]",1f68a,🚊,,,
🚋,travel,tram car,[train],,"[transportation, trolleybus, tram, car, travel, train, vehicle]",1f68b,🚋,,,
🚌,travel,bus,[bus],,"[bus, transportation, office, vehicle]",1f68c,🚌,,,
🚍,travel,oncoming bus,[oncoming_bus],,"[bus, oncoming, transportation, travel, vehicle]",1f68d,🚍,,,
🚎,travel,trolleybus,[trolleybus],,"[trolley, transportation, trolleybus, tram, bus, travel, vehicle]",1f68e,🚎,,,
🚏,travel,bus stop,[busstop],,"[bus, object, stop, busstop]",1f68f,🚏,,,
🚐,travel,minibus,[minibus],,"[bus, minibus, transportation, vehicle]",1f690,🚐,,,
🚑,travel,ambulance,[ambulance],,"[911, vehicle, transportation, ambulance]",1f691,🚑,,,
🚒,travel,fire engine,[fire_engine],,"[engine, transportation, fire, truck, vehicle, 911]",1f692,🚒,,,
🚓,travel,police car,[police_car],,"[patrol, car, police, vehicle, transportation, 911]",1f693,🚓,,,
🚔,travel,oncoming police car,[oncoming_police_car],,"[police, car, oncoming, vehicle, transportation, 911]",1f694,🚔,,,
🚕,travel,taxi,[taxi],,"[taxi, car, travel, transportation, vehicle]",1f695,🚕,,,
🚖,travel,oncoming taxi,[oncoming_taxi],,"[taxi, transportation, car, oncoming, vehicle, travel]",1f696,🚖,,,
🚗,travel,automobile,[red_car],,"[automobile, travel, vehicle, transportation, car]",1f697,🚗,,,
🚘,travel,oncoming automobile,[oncoming_automobile],,"[transportation, automobile, oncoming, vehicle, travel, car]",1f698,🚘,,,
🚙,travel,recreational vehicle,[blue_car],,"[rv, transportation, car, travel, recreational, vehicle]",1f699,🚙,,,
🚚,travel,delivery truck,[truck],,"[delivery, transportation, truck, vehicle]",1f69a,🚚,,,
🚛,travel,articulated lorry,[articulated_lorry],,"[transportation, truck, lorry, semi, vehicle]",1f69b,🚛,,,
🚜,travel,tractor,[tractor],,"[transportation, tractor, vehicle]",1f69c,🚜,,,
🚝,travel,monorail,[monorail],,"[transportation, travel, vacation, train, vehicle, monorail]",1f69d,🚝,,,
🚞,travel,mountain railway,[mountain_railway],,"[mountain, transportation, car, travel, train, vehicle, railway]",1f69e,🚞,,,
🚟,travel,suspension railway,[suspension_railway],,"[transportation, travel, train, vehicle, suspension, railway]",1f69f,🚟,,,
🚠,travel,mountain cableway,[mountain_cableway],,"[mountain, transportation, cable, gondola, travel, train, vehicle]",1f6a0,🚠,,,
🚡,travel,aerial tramway,[aerial_tramway],,"[aerial, cable, car, travel, vehicle, train, tramway, gondola, transportation, ropeway]",1f6a1,🚡,,,
🚢,travel,ship,[ship],,"[transportation, travel, vacation, vehicle, ship, boat]",1f6a2,🚢,,,
🚣,activity,rowboat,[rowboat],,"[rowboat, diversity, workout, men, vehicle, sport, rowing, boat]",1f6a3,🚣,,,
🚣🏻,activity,rowboat type,[rowboat_tone1],,[],1f6a3_1f3fb,🚣🏻,,rowboat tone 1,
🚣🏼,activity,rowboat type,[rowboat_tone2],,[],1f6a3_1f3fc,🚣🏼,,rowboat tone 2,
🚣🏽,activity,rowboat type,[rowboat_tone3],,[],1f6a3_1f3fd,🚣🏽,,rowboat tone 3,
🚣🏾,activity,rowboat type,[rowboat_tone4],,[],1f6a3_1f3fe,🚣🏾,,rowboat tone 4,
🚣🏿,activity,rowboat type,[rowboat_tone5],,[],1f6a3_1f3ff,🚣🏿,,rowboat tone 5,
🚤,travel,speedboat,[speedboat],,"[transportation, speedboat, vacation, tropical, vehicle, travel, boat]",1f6a4,🚤,,,
🚥,travel,horizontal traffic light,[traffic_light],,"[light, signal, object, traffic, stop light]",1f6a5,🚥,,,
🚦,travel,vertical traffic light,[vertical_traffic_light],,"[light, signal, object, traffic, stop light]",1f6a6,🚦,,,
🚧,travel,construction sign,[construction],,"[construction, barrier, object]",1f6a7,🚧,,,
🚨,travel,police cars revolving light,[rotating_light],,"[light, police, transportation, car, object, beacon, vehicle, revolving, 911]",1f6a8,🚨,,,
🚩,objects,triangular flag on post,[triangular_flag_on_post],,"[flag, object, post]",1f6a9,🚩,,,
🚪,objects,door,[door],,"[object, door]",1f6aa,🚪,,,
🚫,symbols,no entry sign,[no_entry_sign],,"[no, forbidden, prohibited, not, entry, circle, symbol]",1f6ab,🚫,,,
🚬,objects,smoking symbol,[smoking],,"[drugs, smoking, symbol, activity]",1f6ac,🚬,,,
🚭,symbols,no smoking symbol,[no_smoking],,"[no, forbidden, prohibited, not, smoking, symbol]",1f6ad,🚭,,,
🚮,symbols,put litter in its place symbol,[put_litter_in_its_place],,"[litter, symbol, litterbox]",1f6ae,🚮,,,
🚯,symbols,do not litter symbol,[do_not_litter],,"[no, forbidden, litter, prohibited, not, symbol]",1f6af,🚯,,,
🚰,symbols,potable water symbol,[potable_water],,"[water, potable, drink, symbol]",1f6b0,🚰,,,
🚱,symbols,non potable water symbol,[non-potable_water],,"[no, forbidden, drink, water, prohibited, not, potable, symbol]",1f6b1,🚱,,non-potable water symbol,
🚲,travel,bicycle,[bike],,"[transportation, travel, bike, bicycle, vehicle]",1f6b2,🚲,,,
🚳,symbols,no bicycles,[no_bicycles],,"[bicycle, no, forbidden, bike, prohibited, vehicle, not, symbol]",1f6b3,🚳,,,
🚴,activity,bicyclist,[bicyclist],,"[cyclist, bicycle, bicyclist, workout, men, bike, diversity, sport]",1f6b4,🚴,,,
🚴🏻,activity,bicyclist type,[bicyclist_tone1],,[],1f6b4_1f3fb,🚴🏻,,bicyclist tone 1,
🚴🏼,activity,bicyclist type,[bicyclist_tone2],,[],1f6b4_1f3fc,🚴🏼,,bicyclist tone 2,
🚴🏽,activity,bicyclist type,[bicyclist_tone3],,[],1f6b4_1f3fd,🚴🏽,,bicyclist tone 3,
🚴🏾,activity,bicyclist type,[bicyclist_tone4],,[],1f6b4_1f3fe,🚴🏾,,bicyclist tone 4,
🚴🏿,activity,bicyclist type,[bicyclist_tone5],,[],1f6b4_1f3ff,🚴🏿,,bicyclist tone 5,
🚵,activity,mountain bicyclist,[mountain_bicyclist],,"[cyclist, mountain, bicycle, bicyclist, men, bike, diversity, sport]",1f6b5,🚵,,,
🚵🏻,activity,mountain bicyclist type,[mountain_bicyclist_tone1],,[],1f6b5_1f3fb,🚵🏻,,mountain bicyclist tone 1,
🚵🏼,activity,mountain bicyclist type,[mountain_bicyclist_tone2],,[],1f6b5_1f3fc,🚵🏼,,mountain bicyclist tone 2,
🚵🏽,activity,mountain bicyclist type,[mountain_bicyclist_tone3],,[],1f6b5_1f3fd,🚵🏽,,mountain bicyclist tone 3,
🚵🏾,activity,mountain bicyclist type,[mountain_bicyclist_tone4],,[],1f6b5_1f3fe,🚵🏾,,mountain bicyclist tone 4,
🚵🏿,activity,mountain bicyclist type,[mountain_bicyclist_tone5],,[],1f6b5_1f3ff,🚵🏿,,mountain bicyclist tone 5,
🚶,people,pedestrian,[walking],,"[walking, diversity, people, hike, men, walk, pedestrian]",1f6b6,🚶,,,
🚶🏻,people,pedestrian type,[walking_tone1],,[],1f6b6_1f3fb,🚶🏻,,pedestrian tone 1,
🚶🏼,people,pedestrian type,[walking_tone2],,[],1f6b6_1f3fc,🚶🏼,,pedestrian tone 2,
🚶🏽,people,pedestrian type,[walking_tone3],,[],1f6b6_1f3fd,🚶🏽,,pedestrian tone 3,
🚶🏾,people,pedestrian type,[walking_tone4],,[],1f6b6_1f3fe,🚶🏾,,pedestrian tone 4,
